nlc,station_name,easting,northing,lines,network,london_underground,elizabeth_line,london_overground,dlr,zone,longitude,latitude
783,"HEATHROW TERMINAL 5 LU",505109,175924,Piccadilly,"London Underground",Yes,,,,6,-0.490000,51.470000
784,SOUTHWARK,531592,180074,Jubilee,"London Underground",Yes,,,,1,-0.100000,51.500000
787,BERMONDSEY,534460,179416,Jubilee,"London Underground",Yes,,,,2,-0.060000,51.500000
788,"CANADA WATER",535475,179472,"Jubilee, London Overground","London Underground",Yes,,Yes,,2,-0.050000,51.500000
789,"NORTH GREENWICH",539216,179859,Jubilee,"London Underground",Yes,,,,"2,3",0.010000,51.500000
831,"NINE ELMS",530058,177332,Northern,"London Underground",Yes,,,,1,-0.130000,51.480000
832,"BATTERSEA POWER STATION",529122,177252,Northern,"London Underground",Yes,,,,1,-0.140000,51.480000
842,"CANARY WHARF DLR",537450,180322,DLR,,,,,Yes,2,-0.020000,51.500000
850,"ALL SAINTS",537979,180993,DLR,,,,,Yes,2,-0.010000,51.510000
851,"BOW CHURCH",537393,182829,DLR,,,,,Yes,2,-0.020000,51.530000
852,"CANARY WHARF LU",537677,180140,Jubilee,"London Underground",Yes,,,,2,-0.020000,51.500000
853,"LANGDON PARK",537894,181442,DLR,,,,,Yes,2,-0.010000,51.510000
854,CROSSHARBOUR,537927,179309,DLR,,,,,Yes,2,-0.010000,51.500000
855,"HERON QUAYS",537421,180122,DLR,,,,,Yes,2,-0.020000,51.500000
856,"ISLAND GARDENS",538227,178444,DLR,,,,,Yes,2,-0.010000,51.490000
857,MUDCHUTE,537904,178750,DLR,,,,,Yes,2,-0.010000,51.490000
858,POPLAR,537701,180617,DLR,,,,,Yes,2,-0.020000,51.510000
859,"PUDDING MILL LANE",537847,183568,DLR,,,,,Yes,"2,3",-0.010000,51.530000
860,"SHADWELL DLR",534947,180986,DLR,,,,,Yes,2,-0.060000,51.510000
861,"SOUTH QUAY",537597,179824,DLR,,,,,Yes,2,-0.020000,51.500000
862,"LIMEHOUSE DLR",536127,181086,DLR,,,,,Yes,2,-0.040000,51.510000
864,"TOWER GATEWAY",533706,180834,DLR,,,,,Yes,1,-0.070000,51.510000
865,WESTFERRY,537023,180798,DLR,,,,,Yes,2,-0.030000,51.510000
866,"WEST INDIA QUAY",537495,180586,DLR,,,,,Yes,2,-0.020000,51.510000
867,"DEVONS ROAD",537639,182257,DLR,,,,,Yes,2,-0.020000,51.520000
